INFO:root:Number of parameters: 4230654
INFO:root:052: Acc-tr:  97.63, Acc-val:  73.13, L-tr: 0.0794, L-val: 2.1012, Time: 574.639910
INFO:root:053: Acc-tr:  96.97, Acc-val:  73.03, L-tr: 0.1047, L-val: 1.9700, Time: 585.498616
INFO:root:054: Acc-tr:  97.61, Acc-val:  73.45, L-tr: 0.0819, L-val: 1.9272, Time: 596.427581
INFO:root:055: Acc-tr:  97.47, Acc-val:  72.83, L-tr: 0.0865, L-val: 2.1288, Time: 607.261337
INFO:root:056: Acc-tr:  97.14, Acc-val:  72.07, L-tr: 0.0981, L-val: 1.9075, Time: 618.168439
INFO:root:057: Acc-tr:  96.81, Acc-val:  73.06, L-tr: 0.1074, L-val: 1.9961, Time: 629.155247
INFO:root:058: Acc-tr:  97.47, Acc-val:  73.14, L-tr: 0.0867, L-val: 1.9812, Time: 639.977840
INFO:root:059: Acc-tr:  97.56, Acc-val:  72.78, L-tr: 0.0830, L-val: 2.0097, Time: 650.629374
INFO:root:060: Acc-tr:  97.53, Acc-val:  72.76, L-tr: 0.0838, L-val: 2.0449, Time: 661.527191
INFO:root:061: Acc-tr:  97.22, Acc-val:  73.80, L-tr: 0.0938, L-val: 1.9251, Time: 672.322717
INFO:root:062: Acc-tr:  97.79, Acc-val:  73.81, L-tr: 0.0741, L-val: 2.0237, Time: 683.100125
INFO:root:063: Acc-tr:  97.85, Acc-val:  73.44, L-tr: 0.0775, L-val: 1.9313, Time: 693.837474
INFO:root:064: Acc-tr:  97.90, Acc-val:  73.12, L-tr: 0.0707, L-val: 1.9982, Time: 704.734087
INFO:root:065: Acc-tr:  98.42, Acc-val:  73.61, L-tr: 0.0561, L-val: 2.0993, Time: 715.623446
INFO:root:066: Acc-tr:  98.47, Acc-val:  73.57, L-tr: 0.0523, L-val: 2.1323, Time: 726.623132
INFO:root:067: Acc-tr:  98.15, Acc-val:  72.94, L-tr: 0.0674, L-val: 2.0658, Time: 737.373982
INFO:root:068: Acc-tr:  97.77, Acc-val:  72.04, L-tr: 0.0805, L-val: 1.9329, Time: 748.127122
INFO:root:069: Acc-tr:  98.20, Acc-val:  73.12, L-tr: 0.0613, L-val: 2.0960, Time: 758.989434
INFO:root:070: Acc-tr:  97.91, Acc-val:  73.71, L-tr: 0.0716, L-val: 2.0114, Time: 769.823155
INFO:root:071: Acc-tr:  98.17, Acc-val:  73.42, L-tr: 0.0644, L-val: 2.0105, Time: 780.947031
INFO:root:072: Acc-tr:  97.94, Acc-val:  72.67, L-tr: 0.0722, L-val: 2.1010, Time: 792.104210
INFO:root:073: Acc-tr:  97.59, Acc-val:  73.61, L-tr: 0.0804, L-val: 1.8764, Time: 803.074567
INFO:root:074: Acc-tr:  98.20, Acc-val:  72.61, L-tr: 0.0631, L-val: 2.0738, Time: 813.990363
INFO:root:075: Acc-tr:  97.97, Acc-val:  73.25, L-tr: 0.0728, L-val: 2.0110, Time: 824.817628
INFO:root:076: Acc-tr:  98.32, Acc-val:  74.33, L-tr: 0.0568, L-val: 2.0204, Time: 835.874360
INFO:root:077: Acc-tr:  98.63, Acc-val:  73.45, L-tr: 0.0490, L-val: 2.1450, Time: 846.812063
