INFO:root:Number of parameters: 4230654
INFO:root:061: Acc-tr:  95.03, Acc-val:  76.95, L-tr: 0.1595, L-val: 1.2333
INFO:root:062: Acc-tr:  95.06, Acc-val:  77.15, L-tr: 0.1554, L-val: 1.2526
INFO:root:063: Acc-tr:  95.19, Acc-val:  76.43, L-tr: 0.1478, L-val: 1.3178
INFO:root:064: Acc-tr:  94.86, Acc-val:  77.42, L-tr: 0.1615, L-val: 1.3196
INFO:root:065: Acc-tr:  95.19, Acc-val:  76.88, L-tr: 0.1506, L-val: 1.2316
INFO:root:066: Acc-tr:  95.42, Acc-val:  76.40, L-tr: 0.1434, L-val: 1.3984
INFO:root:067: Acc-tr:  95.09, Acc-val:  76.39, L-tr: 0.1554, L-val: 1.3374
INFO:root:068: Acc-tr:  95.20, Acc-val:  77.18, L-tr: 0.1527, L-val: 1.2789
INFO:root:069: Acc-tr:  95.58, Acc-val:  76.90, L-tr: 0.1416, L-val: 1.2980
INFO:root:070: Acc-tr:  95.50, Acc-val:  77.29, L-tr: 0.1459, L-val: 1.2483
INFO:root:071: Acc-tr:  95.79, Acc-val:  76.64, L-tr: 0.1347, L-val: 1.3643
INFO:root:072: Acc-tr:  95.32, Acc-val:  76.11, L-tr: 0.1476, L-val: 1.3582
INFO:root:073: Acc-tr:  96.04, Acc-val:  76.23, L-tr: 0.1256, L-val: 1.4532
INFO:root:074: Acc-tr:  95.56, Acc-val:  77.77, L-tr: 0.1440, L-val: 1.2422
INFO:root:075: Acc-tr:  96.17, Acc-val:  76.88, L-tr: 0.1217, L-val: 1.3798
INFO:root:076: Acc-tr:  96.35, Acc-val:  77.38, L-tr: 0.1122, L-val: 1.3891
INFO:root:077: Acc-tr:  95.38, Acc-val:  77.51, L-tr: 0.1490, L-val: 1.3252
INFO:root:078: Acc-tr:  95.80, Acc-val:  76.94, L-tr: 0.1344, L-val: 1.3477
INFO:root:079: Acc-tr:  96.02, Acc-val:  76.86, L-tr: 0.1265, L-val: 1.4173
INFO:root:080: Acc-tr:  96.02, Acc-val:  77.17, L-tr: 0.1253, L-val: 1.3533
INFO:root:081: Acc-tr:  96.39, Acc-val:  76.74, L-tr: 0.1144, L-val: 1.3896
INFO:root:082: Acc-tr:  96.23, Acc-val:  76.58, L-tr: 0.1202, L-val: 1.4734
INFO:root:083: Acc-tr:  96.09, Acc-val:  77.10, L-tr: 0.1257, L-val: 1.4588
INFO:root:084: Acc-tr:  96.19, Acc-val:  77.44, L-tr: 0.1258, L-val: 1.3495
INFO:root:085: Acc-tr:  96.36, Acc-val:  76.77, L-tr: 0.1164, L-val: 1.4289
INFO:root:086: Acc-tr:  96.72, Acc-val:  76.70, L-tr: 0.1050, L-val: 1.4050
INFO:root:087: Acc-tr:  96.56, Acc-val:  77.44, L-tr: 0.1116, L-val: 1.3982
INFO:root:088: Acc-tr:  96.54, Acc-val:  76.80, L-tr: 0.1096, L-val: 1.4644
INFO:root:089: Acc-tr:  96.61, Acc-val:  77.87, L-tr: 0.1107, L-val: 1.3640
INFO:root:090: Acc-tr:  96.56, Acc-val:  77.02, L-tr: 0.1115, L-val: 1.3716
INFO:root:091: Acc-tr:  96.68, Acc-val:  77.12, L-tr: 0.1057, L-val: 1.4539
INFO:root:092: Acc-tr:  96.56, Acc-val:  77.41, L-tr: 0.1112, L-val: 1.3907
INFO:root:093: Acc-tr:  96.75, Acc-val:  77.03, L-tr: 0.1047, L-val: 1.3744
INFO:root:094: Acc-tr:  96.71, Acc-val:  77.01, L-tr: 0.1075, L-val: 1.5007
INFO:root:095: Acc-tr:  96.59, Acc-val:  77.01, L-tr: 0.1089, L-val: 1.4096
INFO:root:096: Acc-tr:  96.41, Acc-val:  77.54, L-tr: 0.1211, L-val: 1.3870
INFO:root:097: Acc-tr:  96.51, Acc-val:  77.32, L-tr: 0.1180, L-val: 1.3727
INFO:root:098: Acc-tr:  96.87, Acc-val:  77.00, L-tr: 0.1031, L-val: 1.3585
INFO:root:099: Acc-tr:  96.99, Acc-val:  77.18, L-tr: 0.0986, L-val: 1.5063
INFO:root:100: Acc-tr:  97.27, Acc-val:  77.44, L-tr: 0.0899, L-val: 1.5488
INFO:root:101: Acc-tr:  96.64, Acc-val:  76.87, L-tr: 0.1096, L-val: 1.4452
INFO:root:102: Acc-tr:  96.75, Acc-val:  76.30, L-tr: 0.1053, L-val: 1.4788
INFO:root:103: Acc-tr:  96.34, Acc-val:  76.27, L-tr: 0.1199, L-val: 1.4310
INFO:root:104: Acc-tr:  96.87, Acc-val:  77.01, L-tr: 0.1036, L-val: 1.4842
INFO:root:105: Acc-tr:  97.08, Acc-val:  76.80, L-tr: 0.0938, L-val: 1.3373
INFO:root:106: Acc-tr:  97.02, Acc-val:  77.61, L-tr: 0.0954, L-val: 1.4779
INFO:root:107: Acc-tr:  97.11, Acc-val:  76.42, L-tr: 0.0936, L-val: 1.5921
INFO:root:108: Acc-tr:  96.93, Acc-val:  76.89, L-tr: 0.1010, L-val: 1.4190
INFO:root:109: Acc-tr:  96.87, Acc-val:  77.37, L-tr: 0.1001, L-val: 1.4798
INFO:root:110: Acc-tr:  96.94, Acc-val:  77.71, L-tr: 0.0992, L-val: 1.4366
INFO:root:111: Acc-tr:  96.90, Acc-val:  77.00, L-tr: 0.1053, L-val: 1.4655
INFO:root:112: Acc-tr:  97.13, Acc-val:  77.45, L-tr: 0.0933, L-val: 1.4498
INFO:root:113: Acc-tr:  97.16, Acc-val:  77.85, L-tr: 0.0922, L-val: 1.3833
INFO:root:114: Acc-tr:  97.51, Acc-val:  77.13, L-tr: 0.0806, L-val: 1.5668
INFO:root:115: Acc-tr:  96.94, Acc-val:  77.72, L-tr: 0.1016, L-val: 1.5100
INFO:root:116: Acc-tr:  97.11, Acc-val:  76.77, L-tr: 0.0938, L-val: 1.4611
INFO:root:117: Acc-tr:  97.27, Acc-val:  77.13, L-tr: 0.0880, L-val: 1.4821
INFO:root:118: Acc-tr:  97.21, Acc-val:  77.71, L-tr: 0.0910, L-val: 1.5510
INFO:root:119: Acc-tr:  97.45, Acc-val:  77.46, L-tr: 0.0860, L-val: 1.4986
INFO:root:120: Acc-tr:  97.56, Acc-val:  77.79, L-tr: 0.0816, L-val: 1.4526
INFO:root:121: Acc-tr:  97.82, Acc-val:  77.47, L-tr: 0.0704, L-val: 1.4828
INFO:root:122: Acc-tr:  97.86, Acc-val:  77.69, L-tr: 0.0708, L-val: 1.4719
INFO:root:123: Acc-tr:  97.70, Acc-val:  77.61, L-tr: 0.0742, L-val: 1.5177
INFO:root:124: Acc-tr:  97.31, Acc-val:  76.01, L-tr: 0.0894, L-val: 1.4961
INFO:root:125: Acc-tr:  97.29, Acc-val:  77.30, L-tr: 0.0891, L-val: 1.4630
INFO:root:126: Acc-tr:  97.58, Acc-val:  76.96, L-tr: 0.0808, L-val: 1.4259
INFO:root:127: Acc-tr:  97.82, Acc-val:  77.51, L-tr: 0.0700, L-val: 1.5623
INFO:root:128: Acc-tr:  97.59, Acc-val:  78.07, L-tr: 0.0801, L-val: 1.5161
INFO:root:129: Acc-tr:  97.04, Acc-val:  77.37, L-tr: 0.1005, L-val: 1.5058
INFO:root:130: Acc-tr:  97.39, Acc-val:  77.37, L-tr: 0.0862, L-val: 1.5239
INFO:root:131: Acc-tr:  97.28, Acc-val:  76.70, L-tr: 0.0885, L-val: 1.5277
INFO:root:132: Acc-tr:  97.67, Acc-val:  75.77, L-tr: 0.0789, L-val: 1.6320
INFO:root:133: Acc-tr:  97.34, Acc-val:  77.61, L-tr: 0.0866, L-val: 1.4536
INFO:root:134: Acc-tr:  97.87, Acc-val:  76.96, L-tr: 0.0707, L-val: 1.5683
INFO:root:135: Acc-tr:  97.24, Acc-val:  77.81, L-tr: 0.0920, L-val: 1.4406
INFO:root:136: Acc-tr:  97.86, Acc-val:  77.00, L-tr: 0.0722, L-val: 1.6012
INFO:root:137: Acc-tr:  97.50, Acc-val:  77.24, L-tr: 0.0830, L-val: 1.6108
INFO:root:138: Acc-tr:  97.69, Acc-val:  77.58, L-tr: 0.0776, L-val: 1.4545
INFO:root:139: Acc-tr:  97.64, Acc-val:  77.38, L-tr: 0.0766, L-val: 1.5478
INFO:root:140: Acc-tr:  97.62, Acc-val:  78.36, L-tr: 0.0780, L-val: 1.4043
INFO:root:141: Acc-tr:  97.69, Acc-val:  77.05, L-tr: 0.0789, L-val: 1.5201
INFO:root:142: Acc-tr:  97.66, Acc-val:  77.01, L-tr: 0.0784, L-val: 1.4724
INFO:root:143: Acc-tr:  97.75, Acc-val:  77.44, L-tr: 0.0741, L-val: 1.4499
INFO:root:144: Acc-tr:  97.64, Acc-val:  76.69, L-tr: 0.0759, L-val: 1.5748
INFO:root:145: Acc-tr:  97.41, Acc-val:  77.54, L-tr: 0.0838, L-val: 1.5672
INFO:root:146: Acc-tr:  97.68, Acc-val:  76.50, L-tr: 0.0799, L-val: 1.5172
INFO:root:147: Acc-tr:  97.68, Acc-val:  78.24, L-tr: 0.0771, L-val: 1.3772
INFO:root:148: Acc-tr:  98.13, Acc-val:  77.32, L-tr: 0.0617, L-val: 1.5472
INFO:root:149: Acc-tr:  97.97, Acc-val:  77.63, L-tr: 0.0681, L-val: 1.5477
INFO:root:150: Acc-tr:  99.22, Acc-val:  79.05, L-tr: 0.0253, L-val: 1.4247
INFO:root:151: Acc-tr:  99.76, Acc-val:  79.20, L-tr: 0.0092, L-val: 1.4479
INFO:root:152: Acc-tr:  99.90, Acc-val:  79.37, L-tr: 0.0047, L-val: 1.4560
INFO:root:153: Acc-tr:  99.94, Acc-val:  78.92, L-tr: 0.0033, L-val: 1.5003
INFO:root:154: Acc-tr:  99.97, Acc-val:  79.29, L-tr: 0.0028, L-val: 1.4948
INFO:root:155: Acc-tr:  99.98, Acc-val:  79.60, L-tr: 0.0020, L-val: 1.5066
INFO:root:156: Acc-tr:  99.99, Acc-val:  79.57, L-tr: 0.0016, L-val: 1.4630
INFO:root:157: Acc-tr:  99.99, Acc-val:  78.88, L-tr: 0.0015, L-val: 1.5334
INFO:root:158: Acc-tr: 100.00, Acc-val:  79.35, L-tr: 0.0012, L-val: 1.5238
INFO:root:159: Acc-tr: 100.00, Acc-val:  79.31, L-tr: 0.0011, L-val: 1.5319
INFO:root:160: Acc-tr: 100.00, Acc-val:  79.38, L-tr: 0.0010, L-val: 1.5322
INFO:root:161: Acc-tr: 100.00, Acc-val:  79.37, L-tr: 0.0009, L-val: 1.5347
INFO:root:162: Acc-tr: 100.00, Acc-val:  79.44, L-tr: 0.0009, L-val: 1.5619
INFO:root:163: Acc-tr: 100.00, Acc-val:  79.59, L-tr: 0.0008, L-val: 1.5624
INFO:root:164: Acc-tr: 100.00, Acc-val:  79.68, L-tr: 0.0008, L-val: 1.5503
INFO:root:165: Acc-tr: 100.00, Acc-val:  79.68, L-tr: 0.0007, L-val: 1.5835
INFO:root:166: Acc-tr: 100.00, Acc-val:  79.62, L-tr: 0.0007, L-val: 1.5408
INFO:root:167: Acc-tr: 100.00, Acc-val:  79.33, L-tr: 0.0007, L-val: 1.6113
INFO:root:168: Acc-tr: 100.00, Acc-val:  79.55, L-tr: 0.0006, L-val: 1.5661
INFO:root:169: Acc-tr: 100.00, Acc-val:  79.64, L-tr: 0.0006, L-val: 1.5713
INFO:root:170: Acc-tr: 100.00, Acc-val:  79.56, L-tr: 0.0006, L-val: 1.5687
INFO:root:171: Acc-tr: 100.00, Acc-val:  79.88, L-tr: 0.0006, L-val: 1.5344
INFO:root:172: Acc-tr: 100.00, Acc-val:  79.53, L-tr: 0.0005, L-val: 1.5599
INFO:root:173: Acc-tr: 100.00, Acc-val:  79.59, L-tr: 0.0005, L-val: 1.5773
INFO:root:174: Acc-tr: 100.00, Acc-val:  79.81, L-tr: 0.0005, L-val: 1.5646
INFO:root:175: Acc-tr: 100.00, Acc-val:  79.69, L-tr: 0.0005, L-val: 1.5501
INFO:root:176: Acc-tr: 100.00, Acc-val:  79.67, L-tr: 0.0005, L-val: 1.5805
INFO:root:177: Acc-tr: 100.00, Acc-val:  79.61, L-tr: 0.0005, L-val: 1.5841
INFO:root:178: Acc-tr: 100.00, Acc-val:  79.54, L-tr: 0.0005, L-val: 1.5962
INFO:root:179: Acc-tr: 100.00, Acc-val:  79.73, L-tr: 0.0005, L-val: 1.5631
INFO:root:180: Acc-tr: 100.00, Acc-val:  79.88, L-tr: 0.0005, L-val: 1.5767
INFO:root:181: Acc-tr: 100.00, Acc-val:  79.64, L-tr: 0.0004, L-val: 1.5763
INFO:root:182: Acc-tr: 100.00, Acc-val:  79.70, L-tr: 0.0005, L-val: 1.5467
INFO:root:183: Acc-tr: 100.00, Acc-val:  79.39, L-tr: 0.0004, L-val: 1.5699
INFO:root:184: Acc-tr: 100.00, Acc-val:  79.30, L-tr: 0.0004, L-val: 1.6085
INFO:root:185: Acc-tr: 100.00, Acc-val:  79.56, L-tr: 0.0004, L-val: 1.5672
INFO:root:186: Acc-tr: 100.00, Acc-val:  79.53, L-tr: 0.0004, L-val: 1.5958
INFO:root:187: Acc-tr: 100.00, Acc-val:  79.57, L-tr: 0.0004, L-val: 1.5969
INFO:root:188: Acc-tr: 100.00, Acc-val:  79.80, L-tr: 0.0004, L-val: 1.5654
INFO:root:189: Acc-tr: 100.00, Acc-val:  80.14, L-tr: 0.0004, L-val: 1.5494
INFO:root:190: Acc-tr: 100.00, Acc-val:  79.82, L-tr: 0.0004, L-val: 1.5419
INFO:root:191: Acc-tr: 100.00, Acc-val:  79.69, L-tr: 0.0004, L-val: 1.5595
INFO:root:192: Acc-tr: 100.00, Acc-val:  80.08, L-tr: 0.0004, L-val: 1.5356
INFO:root:193: Acc-tr: 100.00, Acc-val:  79.90, L-tr: 0.0004, L-val: 1.5677
INFO:root:194: Acc-tr: 100.00, Acc-val:  79.88, L-tr: 0.0004, L-val: 1.5611
INFO:root:195: Acc-tr: 100.00, Acc-val:  79.87, L-tr: 0.0004, L-val: 1.5508
INFO:root:196: Acc-tr: 100.00, Acc-val:  79.65, L-tr: 0.0004, L-val: 1.5346
INFO:root:197: Acc-tr: 100.00, Acc-val:  79.68, L-tr: 0.0004, L-val: 1.5750
INFO:root:198: Acc-tr: 100.00, Acc-val:  79.81, L-tr: 0.0004, L-val: 1.5286
INFO:root:199: Acc-tr: 100.00, Acc-val:  79.92, L-tr: 0.0004, L-val: 1.5365
DEBUG:matplotlib.font_manager:findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0.
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Sans' (DejaVuSans.ttf) normal normal 400 normal>) = 0.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXGeneral' (STIXGeneralBolIta.ttf) italic normal 700 normal>) = 11.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Sans' (DejaVuSans-BoldOblique.ttf) oblique normal 700 normal>) = 1.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXSizeFourSym' (STIXSizFourSymReg.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymReg.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXNonUnicode' (STIXNonUniIta.ttf) italic normal 400 normal>) = 11.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Serif Display' (DejaVuSerifDisplay.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXSizeTwoSym' (STIXSizTwoSymBol.ttf) normal normal 700 normal>) = 10.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'cmsy10' (cmsy10.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXSizeFourSym' (STIXSizFourSymBol.ttf) normal normal 700 normal>) = 10.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXGeneral' (STIXGeneralItalic.ttf) italic normal 400 normal>) = 11.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'cmtt10' (cmtt10.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-BoldOblique.ttf) oblique normal 700 normal>) = 11.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-Bold.ttf) normal normal 700 normal>) = 10.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Sans' (DejaVuSans-Oblique.ttf) oblique normal 400 normal>) = 1.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-Oblique.ttf) oblique normal 400 normal>) = 11.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXSizeFiveSym' (STIXSizFiveSymReg.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXSizeOneSym' (STIXSizOneSymReg.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-Italic.ttf) italic normal 400 normal>) = 11.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXNonUnicode' (STIXNonUni.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXGeneral' (STIXGeneralBol.ttf) normal normal 700 normal>) = 10.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-Bold.ttf) normal normal 700 normal>) = 10.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Serif' (DejaVuSerif.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXGeneral' (STIXGeneral.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXNonUnicode' (STIXNonUniBol.ttf) normal normal 700 normal>) = 10.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXSizeTwoSym' (STIXSizTwoSymReg.ttf) normal normal regular normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'cmss10' (cmss10.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymBol.ttf) normal normal 700 normal>) = 10.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXSizeOneSym' (STIXSizOneSymBol.ttf) normal normal 700 normal>) = 10.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Sans Display' (DejaVuSansDisplay.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-BoldItalic.ttf) italic normal 700 normal>) = 11.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'cmmi10' (cmmi10.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'cmr10' (cmr10.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'cmex10' (cmex10.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'STIXNonUnicode' (STIXNonUniBolIta.ttf) italic normal 700 normal>) = 11.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'DejaVu Sans' (DejaVuSans-Bold.ttf) normal normal 700 normal>) = 0.33499999999999996
DEBUG:matplotlib.font_manager:findfont: score(<Font 'cmb10' (cmb10.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Humor Sans' (Humor-Sans.ttf) normal normal 400 normal>) = 10.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Liberation Serif' (LiberationSerif-BoldItalic.ttf) italic normal 700 normal>) = 11.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Liberation Sans Narrow' (LiberationSansNarrow-Regular.ttf) normal normal 400 condensed>) = 10.25
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Liberation Sans' (LiberationSans-BoldItalic.ttf) italic normal 700 normal>) = 11.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Liberation Sans' (LiberationSans-Italic.ttf) italic normal 400 normal>) = 11.05
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Liberation Mono' (LiberationMono-Bold.ttf) normal normal 700 normal>) = 10.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Liberation Mono' (LiberationMono-BoldItalic.ttf) italic normal 700 normal>) = 11.335
DEBUG:matplotlib.font_manager:findfont: score(<Font 'Liberation Sans Narrow' (LiberationSansNarrow-Italic.ttf) italic normal 400 condensed>) = 11.25
