INFO:root:000: Acc-tr:  18.67, Acc-val:  22.61, L-tr: 2.1673, L-val: 2.0452
INFO:root:001: Acc-tr:  25.18, Acc-val:  27.11, L-tr: 1.9728, L-val: 1.9234
INFO:root:002: Acc-tr:  28.13, Acc-val:  30.46, L-tr: 1.9129, L-val: 1.8565
INFO:root:003: Acc-tr:  31.10, Acc-val:  32.39, L-tr: 1.8424, L-val: 1.8424
INFO:root:004: Acc-tr:  34.48, Acc-val:  35.47, L-tr: 1.7615, L-val: 1.7212
INFO:root:005: Acc-tr:  38.46, Acc-val:  38.70, L-tr: 1.6592, L-val: 1.6625
INFO:root:006: Acc-tr:  42.38, Acc-val:  42.51, L-tr: 1.5650, L-val: 1.5745
INFO:root:007: Acc-tr:  45.34, Acc-val:  46.00, L-tr: 1.4845, L-val: 1.4725
INFO:root:000: Acc-tr:  18.56, Acc-val:  24.81, L-tr: 2.1632, L-val: 1.9807
INFO:root:001: Acc-tr:  24.96, Acc-val:  27.55, L-tr: 1.9766, L-val: 1.9088
INFO:root:002: Acc-tr:  28.36, Acc-val:  29.61, L-tr: 1.9028, L-val: 1.8719
INFO:root:003: Acc-tr:  31.06, Acc-val:  31.17, L-tr: 1.8404, L-val: 1.8241
INFO:root:004: Acc-tr:  34.65, Acc-val:  36.24, L-tr: 1.7486, L-val: 1.7310
INFO:root:005: Acc-tr:  37.73, Acc-val:  40.65, L-tr: 1.6707, L-val: 1.6222
INFO:root:006: Acc-tr:  41.71, Acc-val:  42.16, L-tr: 1.5752, L-val: 1.5520
INFO:root:000: Acc-tr:  18.21, Acc-val:  22.78, L-tr: 2.1641, L-val: 2.0044
INFO:root:001: Acc-tr:  24.84, Acc-val:  23.25, L-tr: 1.9746, L-val: 2.0510
INFO:root:002: Acc-tr:  28.19, Acc-val:  30.70, L-tr: 1.9104, L-val: 1.8910
INFO:root:003: Acc-tr:  31.41, Acc-val:  32.53, L-tr: 1.8452, L-val: 1.8406
