INFO:root:061: Acc-tr:  99.97, Acc-val:   9.84, L-tr: 0.0011, L-val: 2.7058
INFO:root:062: Acc-tr:  99.97, Acc-val:  10.05, L-tr: 0.0012, L-val: 2.7090
INFO:root:063: Acc-tr:  99.98, Acc-val:  10.24, L-tr: 0.0008, L-val: 2.7019
INFO:root:064: Acc-tr:  99.98, Acc-val:  10.16, L-tr: 0.0007, L-val: 2.7207
INFO:root:065: Acc-tr:  99.99, Acc-val:   9.91, L-tr: 0.0006, L-val: 2.6962
INFO:root:066: Acc-tr:  99.98, Acc-val:  10.16, L-tr: 0.0006, L-val: 2.7145
INFO:root:067: Acc-tr:  99.99, Acc-val:  10.15, L-tr: 0.0005, L-val: 2.6941
INFO:root:068: Acc-tr:  99.99, Acc-val:  10.19, L-tr: 0.0004, L-val: 2.7085
INFO:root:069: Acc-tr:  99.99, Acc-val:  10.11, L-tr: 0.0004, L-val: 2.7100
INFO:root:070: Acc-tr:  99.99, Acc-val:  10.12, L-tr: 0.0004, L-val: 2.7107
INFO:root:071: Acc-tr:  99.99, Acc-val:  10.26, L-tr: 0.0004, L-val: 2.7287
INFO:root:072: Acc-tr:  99.99, Acc-val:  10.18, L-tr: 0.0004, L-val: 2.7143
INFO:root:073: Acc-tr:  99.99, Acc-val:  10.17, L-tr: 0.0004, L-val: 2.7131
INFO:root:074: Acc-tr:  99.99, Acc-val:  10.18, L-tr: 0.0004, L-val: 2.7171
INFO:root:075: Acc-tr:  99.99, Acc-val:  10.23, L-tr: 0.0004, L-val: 2.7083
INFO:root:076: Acc-tr:  99.99, Acc-val:  10.28, L-tr: 0.0005, L-val: 2.7225
INFO:root:077: Acc-tr:  99.99, Acc-val:  10.37, L-tr: 0.0004, L-val: 2.7272
INFO:root:078: Acc-tr:  99.99, Acc-val:  10.42, L-tr: 0.0004, L-val: 2.7394
INFO:root:079: Acc-tr:  99.99, Acc-val:  10.32, L-tr: 0.0004, L-val: 2.7224
INFO:root:080: Acc-tr: 100.00, Acc-val:  10.34, L-tr: 0.0003, L-val: 2.7314
INFO:root:081: Acc-tr: 100.00, Acc-val:  10.33, L-tr: 0.0003, L-val: 2.7254
INFO:root:082: Acc-tr: 100.00, Acc-val:  10.30, L-tr: 0.0004, L-val: 2.7250
INFO:root:083: Acc-tr: 100.00, Acc-val:  10.30, L-tr: 0.0004, L-val: 2.7227
INFO:root:084: Acc-tr: 100.00, Acc-val:  10.32, L-tr: 0.0004, L-val: 2.7298
INFO:root:085: Acc-tr: 100.00, Acc-val:  10.47, L-tr: 0.0004, L-val: 2.7340
INFO:root:086: Acc-tr: 100.00, Acc-val:  10.48, L-tr: 0.0003, L-val: 2.7315
INFO:root:087: Acc-tr: 100.00, Acc-val:  10.43, L-tr: 0.0003, L-val: 2.7252
INFO:root:088: Acc-tr: 100.00, Acc-val:  10.46, L-tr: 0.0004, L-val: 2.7294
INFO:root:089: Acc-tr: 100.00, Acc-val:  10.55, L-tr: 0.0003, L-val: 2.7309
INFO:root:090: Acc-tr: 100.00, Acc-val:  10.42, L-tr: 0.0003, L-val: 2.7217
INFO:root:091: Acc-tr: 100.00, Acc-val:  10.54, L-tr: 0.0003, L-val: 2.7329
INFO:root:092: Acc-tr: 100.00, Acc-val:  10.54, L-tr: 0.0003, L-val: 2.7285
INFO:root:093: Acc-tr: 100.00, Acc-val:  10.54, L-tr: 0.0003, L-val: 2.7359
INFO:root:094: Acc-tr: 100.00, Acc-val:  10.47, L-tr: 0.0003, L-val: 2.7231
INFO:root:095: Acc-tr: 100.00, Acc-val:  10.52, L-tr: 0.0003, L-val: 2.7405
INFO:root:096: Acc-tr: 100.00, Acc-val:  10.57, L-tr: 0.0004, L-val: 2.7269
INFO:root:097: Acc-tr:  99.99, Acc-val:  10.50, L-tr: 0.0004, L-val: 2.7201
INFO:root:098: Acc-tr: 100.00, Acc-val:  10.55, L-tr: 0.0004, L-val: 2.7307
INFO:root:099: Acc-tr: 100.00, Acc-val:  10.55, L-tr: 0.0004, L-val: 2.7138
INFO:root:100: Acc-tr:  99.99, Acc-val:  10.60, L-tr: 0.0005, L-val: 2.7290
INFO:root:101: Acc-tr: 100.00, Acc-val:  10.52, L-tr: 0.0004, L-val: 2.7299
INFO:root:102: Acc-tr:  99.99, Acc-val:  10.44, L-tr: 0.0005, L-val: 2.7283
INFO:root:103: Acc-tr:  99.99, Acc-val:  10.59, L-tr: 0.0004, L-val: 2.7143
INFO:root:104: Acc-tr: 100.00, Acc-val:  10.57, L-tr: 0.0004, L-val: 2.7224
INFO:root:105: Acc-tr: 100.00, Acc-val:  10.41, L-tr: 0.0004, L-val: 2.7345
INFO:root:106: Acc-tr: 100.00, Acc-val:  10.56, L-tr: 0.0004, L-val: 2.7281
INFO:root:107: Acc-tr: 100.00, Acc-val:  10.46, L-tr: 0.0004, L-val: 2.7282
INFO:root:108: Acc-tr: 100.00, Acc-val:  10.50, L-tr: 0.0004, L-val: 2.7271
INFO:root:109: Acc-tr: 100.00, Acc-val:  10.54, L-tr: 0.0004, L-val: 2.7270
INFO:root:110: Acc-tr: 100.00, Acc-val:  10.56, L-tr: 0.0004, L-val: 2.7232
INFO:root:111: Acc-tr: 100.00, Acc-val:  10.52, L-tr: 0.0004, L-val: 2.7274
INFO:root:112: Acc-tr: 100.00, Acc-val:  10.53, L-tr: 0.0004, L-val: 2.7282
INFO:root:113: Acc-tr: 100.00, Acc-val:  10.50, L-tr: 0.0004, L-val: 2.7267
INFO:root:114: Acc-tr: 100.00, Acc-val:  10.56, L-tr: 0.0004, L-val: 2.7140
INFO:root:115: Acc-tr: 100.00, Acc-val:  10.49, L-tr: 0.0004, L-val: 2.7261
INFO:root:116: Acc-tr: 100.00, Acc-val:  10.55, L-tr: 0.0004, L-val: 2.7288
INFO:root:117: Acc-tr: 100.00, Acc-val:  10.54, L-tr: 0.0004, L-val: 2.7225
INFO:root:118: Acc-tr: 100.00, Acc-val:  10.51, L-tr: 0.0005, L-val: 2.7297
INFO:root:119: Acc-tr: 100.00, Acc-val:  10.49, L-tr: 0.0004, L-val: 2.7283
INFO:root:120: Acc-tr: 100.00, Acc-val:  10.42, L-tr: 0.0005, L-val: 2.7325
INFO:root:121: Acc-tr: 100.00, Acc-val:  10.41, L-tr: 0.0004, L-val: 2.7319
INFO:root:122: Acc-tr: 100.00, Acc-val:  10.42, L-tr: 0.0004, L-val: 2.7413
INFO:root:123: Acc-tr: 100.00, Acc-val:  10.47, L-tr: 0.0004, L-val: 2.7217
INFO:root:124: Acc-tr: 100.00, Acc-val:  10.44, L-tr: 0.0005, L-val: 2.7313
INFO:root:125: Acc-tr: 100.00, Acc-val:  10.38, L-tr: 0.0004, L-val: 2.7362
INFO:root:126: Acc-tr: 100.00, Acc-val:  10.38, L-tr: 0.0005, L-val: 2.7365
INFO:root:127: Acc-tr: 100.00, Acc-val:  10.53, L-tr: 0.0004, L-val: 2.7258
INFO:root:128: Acc-tr: 100.00, Acc-val:  10.32, L-tr: 0.0004, L-val: 2.7380
INFO:root:129: Acc-tr: 100.00, Acc-val:  10.42, L-tr: 0.0004, L-val: 2.7366
INFO:root:130: Acc-tr: 100.00, Acc-val:  10.33, L-tr: 0.0004, L-val: 2.7371
INFO:root:131: Acc-tr:  99.99, Acc-val:  10.30, L-tr: 0.0006, L-val: 2.7421
INFO:root:132: Acc-tr:  99.99, Acc-val:  10.40, L-tr: 0.0006, L-val: 2.7265
INFO:root:133: Acc-tr: 100.00, Acc-val:  10.36, L-tr: 0.0006, L-val: 2.7320
INFO:root:134: Acc-tr: 100.00, Acc-val:  10.32, L-tr: 0.0005, L-val: 2.7335
INFO:root:135: Acc-tr:  99.99, Acc-val:  10.39, L-tr: 0.0006, L-val: 2.7542
INFO:root:136: Acc-tr:  99.99, Acc-val:  10.38, L-tr: 0.0006, L-val: 2.7333
INFO:root:137: Acc-tr:  99.99, Acc-val:  10.44, L-tr: 0.0006, L-val: 2.7213
INFO:root:138: Acc-tr:  99.99, Acc-val:  10.31, L-tr: 0.0007, L-val: 2.7466
INFO:root:139: Acc-tr: 100.00, Acc-val:  10.42, L-tr: 0.0005, L-val: 2.7178
INFO:root:140: Acc-tr:  99.99, Acc-val:  10.36, L-tr: 0.0008, L-val: 2.7267
INFO:root:141: Acc-tr:  99.99, Acc-val:  10.33, L-tr: 0.0010, L-val: 2.7332
INFO:root:142: Acc-tr:  99.99, Acc-val:  10.38, L-tr: 0.0007, L-val: 2.7236
INFO:root:143: Acc-tr:  99.99, Acc-val:  10.36, L-tr: 0.0007, L-val: 2.7116
INFO:root:144: Acc-tr:  99.99, Acc-val:  10.35, L-tr: 0.0006, L-val: 2.7256
INFO:root:145: Acc-tr:  99.99, Acc-val:  10.37, L-tr: 0.0006, L-val: 2.7337
INFO:root:146: Acc-tr:  99.99, Acc-val:  10.34, L-tr: 0.0005, L-val: 2.7327
INFO:root:147: Acc-tr: 100.00, Acc-val:  10.28, L-tr: 0.0005, L-val: 2.7321
INFO:root:148: Acc-tr: 100.00, Acc-val:  10.29, L-tr: 0.0005, L-val: 2.7329
INFO:root:149: Acc-tr: 100.00, Acc-val:  10.31, L-tr: 0.0005, L-val: 2.7390
INFO:root:150: Acc-tr: 100.00, Acc-val:  10.32, L-tr: 0.0005, L-val: 2.7368
INFO:root:151: Acc-tr: 100.00, Acc-val:  10.32, L-tr: 0.0005, L-val: 2.7359
INFO:root:152: Acc-tr: 100.00, Acc-val:  10.31, L-tr: 0.0005, L-val: 2.7363
INFO:root:153: Acc-tr: 100.00, Acc-val:  10.30, L-tr: 0.0005, L-val: 2.7366
INFO:root:154: Acc-tr: 100.00, Acc-val:  10.30, L-tr: 0.0005, L-val: 2.7367
INFO:root:155: Acc-tr: 100.00, Acc-val:  10.30, L-tr: 0.0005, L-val: 2.7370
INFO:root:156: Acc-tr: 100.00, Acc-val:  10.32, L-tr: 0.0005, L-val: 2.7379
INFO:root:157: Acc-tr: 100.00, Acc-val:  10.32, L-tr: 0.0005, L-val: 2.7382
INFO:root:158: Acc-tr: 100.00, Acc-val:  10.32, L-tr: 0.0005, L-val: 2.7385
INFO:root:159: Acc-tr: 100.00, Acc-val:  10.30, L-tr: 0.0005, L-val: 2.7380
INFO:root:160: Acc-tr: 100.00, Acc-val:  10.31, L-tr: 0.0005, L-val: 2.7385
INFO:root:161: Acc-tr: 100.00, Acc-val:  10.30, L-tr: 0.0005, L-val: 2.7393
INFO:root:162: Acc-tr: 100.00, Acc-val:  10.28, L-tr: 0.0005, L-val: 2.7390
INFO:root:163: Acc-tr: 100.00, Acc-val:  10.28, L-tr: 0.0005, L-val: 2.7390
