INFO:root:061: Acc-tr:  61.59, Acc-val:   9.61, L-tr: 1.1026, L-val: 4.2112
INFO:root:062: Acc-tr:  65.19, Acc-val:   9.93, L-tr: 1.0013, L-val: 4.0968
INFO:root:063: Acc-tr:  68.52, Acc-val:  10.36, L-tr: 0.9040, L-val: 4.6306
INFO:root:064: Acc-tr:  71.92, Acc-val:   8.55, L-tr: 0.8168, L-val: 5.6100
INFO:root:065: Acc-tr:  75.02, Acc-val:   9.28, L-tr: 0.7246, L-val: 5.4688
INFO:root:066: Acc-tr:  76.82, Acc-val:  10.06, L-tr: 0.6719, L-val: 5.5375
INFO:root:067: Acc-tr:  80.05, Acc-val:  10.28, L-tr: 0.5807, L-val: 5.1400
INFO:root:068: Acc-tr:  81.48, Acc-val:   9.02, L-tr: 0.5431, L-val: 6.0433
INFO:root:069: Acc-tr:  83.44, Acc-val:   9.95, L-tr: 0.4875, L-val: 5.8222
INFO:root:070: Acc-tr:  85.24, Acc-val:  10.16, L-tr: 0.4363, L-val: 6.3309
INFO:root:071: Acc-tr:  85.82, Acc-val:   9.40, L-tr: 0.4168, L-val: 6.6693
INFO:root:072: Acc-tr:  87.39, Acc-val:   9.65, L-tr: 0.3721, L-val: 6.9313
INFO:root:073: Acc-tr:  88.25, Acc-val:   9.48, L-tr: 0.3484, L-val: 7.0646
INFO:root:074: Acc-tr:  89.26, Acc-val:   9.94, L-tr: 0.3180, L-val: 6.9146
INFO:root:075: Acc-tr:  89.35, Acc-val:   9.80, L-tr: 0.3149, L-val: 6.6392
INFO:root:076: Acc-tr:  89.81, Acc-val:  10.02, L-tr: 0.3021, L-val: 7.0391
INFO:root:077: Acc-tr:  91.85, Acc-val:  10.74, L-tr: 0.2451, L-val: 8.2032
INFO:root:078: Acc-tr:  91.70, Acc-val:   9.39, L-tr: 0.2521, L-val: 7.2458
INFO:root:079: Acc-tr:  92.86, Acc-val:   9.53, L-tr: 0.2185, L-val: 7.7460
INFO:root:080: Acc-tr:  91.73, Acc-val:   9.71, L-tr: 0.2475, L-val: 7.8290
INFO:root:081: Acc-tr:  92.33, Acc-val:  10.50, L-tr: 0.2265, L-val: 7.1603
INFO:root:082: Acc-tr:  92.80, Acc-val:  10.06, L-tr: 0.2181, L-val: 7.1589
INFO:root:083: Acc-tr:  92.91, Acc-val:  10.04, L-tr: 0.2131, L-val: 7.0303
INFO:root:084: Acc-tr:  92.73, Acc-val:  10.52, L-tr: 0.2228, L-val: 7.5940
INFO:root:085: Acc-tr:  93.62, Acc-val:   8.90, L-tr: 0.1959, L-val: 7.6686
INFO:root:086: Acc-tr:  92.58, Acc-val:   9.73, L-tr: 0.2207, L-val: 7.2892
INFO:root:087: Acc-tr:  93.66, Acc-val:   8.73, L-tr: 0.1908, L-val: 7.4786
INFO:root:088: Acc-tr:  94.71, Acc-val:   9.78, L-tr: 0.1628, L-val: 6.9507
INFO:root:089: Acc-tr:  94.73, Acc-val:   9.61, L-tr: 0.1612, L-val: 8.7912
INFO:root:090: Acc-tr:  94.30, Acc-val:  10.44, L-tr: 0.1770, L-val: 7.2169
INFO:root:091: Acc-tr:  93.63, Acc-val:  10.13, L-tr: 0.1894, L-val: 7.5791
INFO:root:092: Acc-tr:  94.64, Acc-val:  10.19, L-tr: 0.1623, L-val: 7.7779
INFO:root:093: Acc-tr:  94.58, Acc-val:   9.81, L-tr: 0.1661, L-val: 7.4712
INFO:root:094: Acc-tr:  93.95, Acc-val:   9.90, L-tr: 0.1847, L-val: 7.8671
INFO:root:095: Acc-tr:  94.27, Acc-val:   9.67, L-tr: 0.1724, L-val: 7.4044
INFO:root:096: Acc-tr:  94.50, Acc-val:  10.19, L-tr: 0.1681, L-val: 7.5235
INFO:root:097: Acc-tr:  94.53, Acc-val:   9.74, L-tr: 0.1668, L-val: 8.7012
INFO:root:098: Acc-tr:  95.22, Acc-val:   9.80, L-tr: 0.1458, L-val: 7.6509
INFO:root:099: Acc-tr:  94.00, Acc-val:   9.73, L-tr: 0.1815, L-val: 7.5409
INFO:root:100: Acc-tr:  94.39, Acc-val:   9.73, L-tr: 0.1712, L-val: 7.1464
INFO:root:101: Acc-tr:  94.89, Acc-val:   9.58, L-tr: 0.1594, L-val: 7.4689
INFO:root:102: Acc-tr:  95.51, Acc-val:  10.68, L-tr: 0.1402, L-val: 8.3339
INFO:root:103: Acc-tr:  94.60, Acc-val:   8.95, L-tr: 0.1644, L-val: 8.1627
INFO:root:104: Acc-tr:  94.24, Acc-val:  10.04, L-tr: 0.1698, L-val: 8.0928
INFO:root:105: Acc-tr:  95.45, Acc-val:  10.33, L-tr: 0.1400, L-val: 7.2897
INFO:root:106: Acc-tr:  95.43, Acc-val:   9.98, L-tr: 0.1397, L-val: 7.5789
INFO:root:107: Acc-tr:  94.83, Acc-val:  10.59, L-tr: 0.1580, L-val: 7.2694
INFO:root:108: Acc-tr:  93.98, Acc-val:   9.94, L-tr: 0.1810, L-val: 7.6732
INFO:root:109: Acc-tr:  94.83, Acc-val:  10.32, L-tr: 0.1573, L-val: 7.3388
INFO:root:110: Acc-tr:  95.02, Acc-val:  10.19, L-tr: 0.1519, L-val: 7.7358
INFO:root:111: Acc-tr:  95.08, Acc-val:   9.62, L-tr: 0.1499, L-val: 7.4952
INFO:root:112: Acc-tr:  95.47, Acc-val:  10.27, L-tr: 0.1374, L-val: 7.7277
INFO:root:113: Acc-tr:  94.09, Acc-val:  10.02, L-tr: 0.1764, L-val: 7.1521
INFO:root:114: Acc-tr:  95.28, Acc-val:   9.47, L-tr: 0.1397, L-val: 7.4799
INFO:root:115: Acc-tr:  94.65, Acc-val:  10.22, L-tr: 0.1618, L-val: 7.2684
INFO:root:116: Acc-tr:  95.19, Acc-val:  10.28, L-tr: 0.1467, L-val: 8.0600
INFO:root:117: Acc-tr:  95.02, Acc-val:   9.41, L-tr: 0.1537, L-val: 7.5049
INFO:root:118: Acc-tr:  95.75, Acc-val:   9.58, L-tr: 0.1287, L-val: 8.0402
INFO:root:119: Acc-tr:  95.16, Acc-val:   9.85, L-tr: 0.1484, L-val: 7.6741
INFO:root:120: Acc-tr:  94.54, Acc-val:   9.60, L-tr: 0.1645, L-val: 8.0163
INFO:root:121: Acc-tr:  95.24, Acc-val:   9.14, L-tr: 0.1450, L-val: 7.8317
INFO:root:122: Acc-tr:  94.38, Acc-val:   9.35, L-tr: 0.1699, L-val: 7.3466
INFO:root:123: Acc-tr:  95.15, Acc-val:   9.53, L-tr: 0.1495, L-val: 7.2446
INFO:root:124: Acc-tr:  96.02, Acc-val:  10.51, L-tr: 0.1216, L-val: 7.3166
INFO:root:125: Acc-tr:  95.83, Acc-val:  10.15, L-tr: 0.1249, L-val: 7.8068
INFO:root:126: Acc-tr:  94.59, Acc-val:  10.26, L-tr: 0.1625, L-val: 6.7250
INFO:root:127: Acc-tr:  94.50, Acc-val:   9.58, L-tr: 0.1693, L-val: 7.3189
INFO:root:128: Acc-tr:  94.93, Acc-val:   9.95, L-tr: 0.1539, L-val: 7.7207
INFO:root:129: Acc-tr:  95.12, Acc-val:   9.74, L-tr: 0.1475, L-val: 7.7318
INFO:root:130: Acc-tr:  96.35, Acc-val:  10.36, L-tr: 0.1150, L-val: 7.6048
INFO:root:131: Acc-tr:  94.85, Acc-val:   9.99, L-tr: 0.1535, L-val: 7.4150
INFO:root:132: Acc-tr:  95.82, Acc-val:   9.41, L-tr: 0.1300, L-val: 7.5061
INFO:root:133: Acc-tr:  95.54, Acc-val:  10.50, L-tr: 0.1336, L-val: 8.4717
INFO:root:134: Acc-tr:  94.65, Acc-val:   9.98, L-tr: 0.1593, L-val: 7.8646
INFO:root:135: Acc-tr:  94.38, Acc-val:  10.12, L-tr: 0.1675, L-val: 7.4703
INFO:root:136: Acc-tr:  95.47, Acc-val:   9.91, L-tr: 0.1342, L-val: 7.6020
INFO:root:137: Acc-tr:  95.28, Acc-val:   9.94, L-tr: 0.1437, L-val: 8.1498
INFO:root:138: Acc-tr:  95.27, Acc-val:   9.47, L-tr: 0.1422, L-val: 7.2830
INFO:root:139: Acc-tr:  95.07, Acc-val:   9.03, L-tr: 0.1484, L-val: 8.4728
